tag,lyrics,id
pop,"Oh, it's a long, long while from May to December
But the days grow short when you reach September
When the autumn weather turns the leaves to flame
One hasn't got time for the waiting game

Oh, the days dwindle down to a precious few
September, November
And these few precious days I'll spend with you
These precious days I'll spend with you",1465800
pop,"[Verse 1]
Hey you!
Why you blocking all the light?
Walking in the rain
Can ya grab a six pack and Tide?
I didn't mean what I said last night

[Verse 2]
I won't even ask where you were
Empty ballfield in the dark
I can't get used to this thing
It's the only light in the room

[Chorus]
Maybe its enough to be here?
Take a breath and just be here
Maybe its enough to be here?
Take a breath and just be
And just be here for once

[Verse 3]
Wire-ends and the whistlеs die away
Down in Tampa, looking at these bluе cranes
Won't you put that thing away?
For chrissakes, I couldn't take another picture here
[Verse 4]
In my jaw, in my bones
Lord knows we can't even be happy here

[Bridge]
Well, it wasn't quite what i had in mind
What i had in mind was worse
Well, it wasn't quite what I had in mind
What I had in mind was worse

[Chorus]
But maybe its enough to be here?
Take a breath and just be here
Maybe its enough to be here?
Take a breath and just be
And just be here for once

[Outro]
Maybe its enough?
Maybe its enough?",6062326
pop,"[Verse: Mako]
We are children of the wild, we take our chance to face the fall
Go on and on and on, to chase our shadows of the wall
As children of the wild we make our choices on our own
Our path is full of fear, but must be taken all alone

As children of the wild, we take our chance to face the fall
Go on and on and on, to chase our shadows of the wall
As children of the wild we make our choices on our own
Our path is full of fear, but must be taken all alone

[Beat Break]

[Verse]

[Beat Break]",2414324
rap,"[Intro]
Aye, Castro go crazy

[Chorus]
You ain't talking no guap, don't matter
I pull up Trackhawk nigga that's a real fast truck
These niggas talk shit, they all chatter
I'm in the bando, I still got my racks up
I'm just tryna get all my racks up
Red'up now a young nigga packed up
Strapped up, hope a fuck nigga act up

[Verse]
I don't know why you wanna look like me
I'm one of a kind, they can't do it better
That bitch fell in love, made her get on her knees
She tried to propose but I didn't let her
She begging me not to break her heart
Broke bitch needa go get some cheddar
Comme Des Garcons, I put on thе sweater
Thesе thotties they flocking, they know that I'm better
Say you want some money, go get it
You ain't getting that money, you scared
Getting guap before I get out the bed
Wake up then I get me some bread
This year is made for me
They all tell me I was chosen
Just stay away from me
Cuz you always on some broke shit
They wanna take from me
So I'm riding with that pole
They all acting fake to me
You ain't from the four bitch
Fuck it, Imma slide on the opps
Imma act like I don't know shit, you on hoe shit
Fuck it, that nigga dead I don't know shit
[Chorus]
You ain't talking no guap, don't matter
I pull up Trackhawk nigga that's a real fast truck
These niggas talk shit, they all chatter
I'm in the bando, I still got my racks up
I'm just tryna get all my racks up
Red'up now a young nigga packed up
Strapped up, hope a fuck nigga act up

[Chorus]
You ain't talking no guap, don't matter
I pull up Trackhawk nigga that's a real fast truck
These niggas talk shit, they all chatter
I'm in the bando, I still got my racks up
I'm just tryna get all my racks up
Red'up now a young nigga packed up
Strapped up, hope a fuck nigga act up

[Verse 2]
Lil nigga run off with my swagger
I do numbers, that shit only add up
I was down bad, ran it up, I feel better
I feel better
Fuck up the bank when I touch down in Cali
Bring it back home, get some drip, I ain't hiding
Stick on my hip, thirty clip, I'm Bobby
Yall not with the bullshit, I'm retarded
They turning me up, now they getting me started
I'm in the trap, I don't go to no parties
Don't pass me your blunt, I ain't smoking no garbage
Fucking this bitch, I think she was from Charlotte
This bitch was sucking my dick when we first got it started
Now this bitch riding my dick like a Harley
I put on a rubber, that pussy can't harm me
[Chorus]
You ain't talking no guap, don't matter
I pull up Trackhawk nigga that's a real fast truck
These niggas talk shit, they all chatter
I'm in the bando, I still got my racks up
I'm just tryna get all my racks up
Red'up now a young nigga packed up
Strapped up, hope a fuck nigga act up",6489607
rap,"[Intro]
From dawn to dusk, from dusk to dawn
This life, a vapor of smoke, you're gone
It goes from dusk to dawn, and from dawn back to dusk
Have mercy on us, have mercy on us

[Verse 1]
It's like they paved over both sides of the fence
And it's hard to stay on top of it, like current events
Stressin over these headlines, stressin over these deadlines
Man, I'm just trying to get in gear, pushin it past the redline
Clear view in my rearview but the windshield is cracked and cloudy
On a midnight run, I'm sorry hon, y'all hit the sack without me
Hooded sweatshirt is my bed linen
Crashed on the couch, head spinnin, burnt out from breadwinnin
But can't ignore that she brings home more than me
Rhetorically consider the dope dealer next door to me
Pushin a phat Suburban, windows tinted
Instead, I'm barely hangin by a thin thread
Holdin it together with spit and chicken wire
Family been on the back burner long enough to start a kitchen fire
Plus I got a lot of other pots bubblin
Trouble increasing like chromosomes doublin
Don't want to stand up and admit that I feel powerless
And have my brutal honesty taken for cowardice
So no matter how alarming or disarming the facts
I'm too busy cuttin down trees to sharpen my axe
[Chorus]
Strugglin, strivin, put my eight to five in
Keep keepin on, keep keepin hope alive and
Strugglin, strivin, put my eight to five in
Keep keepin on, keep keepin hope alive and
Strugglin, strivin, put my eight to five in
Keep keepin on, keep keepin hope alive and
Strugglin, strivin, put my eight to five in
Keep keepin on, keep keepin hope alive

[Verse 2]
God bless America
How can you ask Him to bless a godless America
I'm nothing more than an odd wretch aware of the
Blatant sense of entitlement we have as a nation regardless of character
Oh say can you see by the dawn's early light
Con artist showing them pearly whites
Similar to heavenly gate, but they lead to destruction
Of a rebel nation that wouldn't heed the instruction
Caught with a mouthful of swine flesh
Now taste the grapes of wrath as God Himself treads the winepress
Oh, what a fine mess we've got ourselves into
What you sow is what you reap, what else is new
Eat, drink, and party, for tomorrow we die: their prime directive
In sorrow we cry, who view it from divine perspective
And couldn't find the thought too enticing
Of trading in the peace that Christ brings for chasing nice things
And that's just the icing on the birthday cake, the earth may quake
But the tremor is drowned by the sound of the mirth they make
Wallowing knee-deep in their own vomit and feces
So much for being the dominant species
Truth really ain't stranger than fiction
It won't endanger the mission if you don't change your conviction
And God, I pray no matter how intense the pain
You give me the strength to keep going against the grain
[Chorus]
Strugglin, strivin, put my eight to five in
Keep keepin on, keep keepin hope alive and
Strugglin, strivin, put my eight to five in
Keep keepin on, keep keepin hope alive and
Strugglin, strivin, put my eight to five in
Keep keepin on, keep keepin hope alive and
Strugglin, strivin, put my eight to five in
Keep keepin on, keep keepin hope alive

[Outro]
And God, I pray no matter how intense the pain
You give me the strength to keep going against the grain
And God, I pray no matter how intense the pain
You give me the strength to keep going against the grain
From dawn to dusk, from dusk to dawn
This life, a vapor of smoke, you're gone
It goes from dusk to dawn, and from dawn back to dusk
Have mercy on us, have mercy on us (have mercy on us)
Have mercy on us (have mercy on us)
Lord, have mercy on us (have mercy on us)
Have mercy on us (have mercy on us)
Lord, have mercy on us (have mercy on us)
Have mercy on us (have mercy on us)
Lord, have mercy on us (have mercy on us)
Have mercy on us (have mercy on us)
Lord, have mercy (Lord, have mercy!)",5845581
pop,"Eight nights
The candles are glowing
Eight nights
The presents are showing
Eight nights
Most beautiful time of the year

Smell of latkes got me feeling so fine
Happy candles sitting all in a line
Snow on the ground
And the light in your eyes
Happy Festival of Lights

Eight lights
I hope you aren’t going
Eight lights
It’s bound to be snowing
Sit tight
We’re feeling the holiday cheer

Setting up so you can see it outside
Warming hearts of those who might pass by
Snow on the ground
And the light in your eyes
Happy Festival of Lights
Eight nights
The candles are glowing
Eight nights
The presents are showing
Eight nights
Most beautiful time of the year",5088924
pop,"The maidens came
When I was in my mother's bower
The maidens came
When I was in my mother's bower
I had all that I would
The bailey bareth the bell away
The lily, the rose
The rose I lay
The bailey bareth the bell away
The lily, the rose
The rose I lay
The silver is white
Red is the gold
The silver is white
Red is the gold
Thе robes they lay in fold
The bailеy bareth the bell away
The lily, the rose
The rose I lay
The bailey bareth the bell away
The lily, the rose
The rose I lay
And through the glass window
Shines the sun
How should I love (how should I love)
How should I love (how should I love)
And I so young
So young
The bailey bareth the bell away
The lily, the rose
The rose I lay
The bailey bareth the bell away
The lily, the rose
The rose I lay",7124807
pop,"There's a girl I know
So far away from here
She's got a lover
She's got a friend
And she's got someone who's always near

One of them is me
And I don't know who
One of them is me
And I don't know who
Oh, look into my eyes
And tell me what you see
One of them is me
And I don't know who

She's got so many men
Who long to love her
To feel her body next to theirs
Or just to understand her

One of them is me
And I don't know who
One of them is me
And I don't know who
Oh, look into my eyes
And tell me what you see
One of them is me
And I don't know who
Oh, come to me
Sweet baby
I'm in love with you
And I can't stop it now
You're a part of me
Oh, save me
Oh, save me from you
What can I do?

She loves a man
Who makes her feel lonely
She loves a man
Who makes her feel so guilty

One of them is me
And I don't know who
One of them is me
And I don't know who
Oh, look into my eyes
And tell me what you see
One of them is me
And I don't know who

Oh, look into my eyes
And tell me what you see
One of them is me
And I don't know who
Ooh ooh",5022370
rap,"Woah, two days till i turn myself in woah
Loose ways to cut off fake hoes like (Woah)
If you run from yourself
Then you never know exactly just what you is running from
If you run from yourself
The  you never know exactly just what you is running from

These days I feel sad as fuck
Cheap tapes got me mad as fuck
Pouring out, for a couple bucks
Cuz right now, no one gives a fuck
Popping out for a little luck
Shout 'em out for a little love

Little faith, I look up above
Never coming down

Take a trip to a little town
Wounds healing, now we patching up
Migraines cuz heavy lays the crown
My brain never settles down
Three versions of single track, in single week, What the fuck is that
Come here and cut me some slack
I love pressure but can’t handle that
Word to my momma she blessed now
Word to my granny she safe now
All this money that I save now
Might go out and buy a safe now

A safe haven
We in the same places
Decades later we stay raking
Stay awake till the approaching day
That all my family is well sustained

My momma love me I'm blessed
My mind is clear, no stress
My exes still love me I’m blessed
It’s a shame I just do not reply to their texts

Woah, two days till I turn myself in woah
Loose ways to cut off fake hoes like (Woah)
If you run from yourself
Then you never know exactly just what you is running from
If you run from yourself
The  you never know exactly just what you is running from

What was I running from?
The pressure been on since god made me
Some devils and failures
I still push the payload
Your lil’ link will never press me, huh?
These them Dade-County dreams
Like when granny’s couch had a lean
Like when PD called to the scene
While I slept on floors with the fiends

Took my ego out the trench
Been through hell
What is next?
My old shorty still love me
It’s a shame she ain’t close to my best

My time is too high cost
For a silver spoon to whine and deflect
My price just ain’t high enough
I ain’t know my worth ‘til I bled on the pen

Woah, two days till i turn myself in woah
Loose ways to cut off fake hoes like (Woah)
If you run from yourself
Then you never know exactly just what you is running from
If you run from yourself
The  you never know exactly just what you is running from",7268739
rock,"[Verse 1]
Six years in the Air Force
Made it to E-4 Rank
With the Ninety-Fourth Intelligence Squadron
Awarded a medal of commendation

[Verse 2]
On this election interference
The intel report was plain and laid bare
For this job with the NSA
The intel was there, just couldn't look away

[Chorus]
What have you done, Reality Winner?
Reality Winner, what have you done?
What have you done, Reality Winner?
Reality Winner, what have you done?

[Verse 3]
This jail is a stone-cold answer
The biggest mistake of a Texas lifetime
In this ballad of the commander-in-chief
Is there any mercy for this standing belief?
[Verse 4]
Felt like gaslighting, not something to just accept
Proud to serve, just not this president
Those that seek the truth will find the answers
Those that seek the truth will find the answers

[Chorus]
What have you done, Reality Winner?
Reality Winner, what have you done?
What have you done, Reality Winner?
Reality Winner, what have you done?
What have you done, Reality Winner?
Reality Winner, what have you done?

[Outro]
What have you done? What have you done?
What have you done? What have you done?",4316029
